Mouse,Group,Smolder_v_Flame,Exposure_length,Lipidomic Aliquot Vol (µL),Lipidomic Aliquot Date,Plasma Remaining for EV Isolation,Lung Tissue Available for Lipidomics,Lung Tissue RNASeq Data Available (all 'Y'),"Secreted Protein Data Available (from BALF samples, across ~10 markers of stress/injury/inflamm) (all 'Y')",Coverage across All Potential Analyses,Submit Lung and Plasma Samples (both Bulk and EV) to Baker Lab for Lipidomics?,Use as a Test Pilot Sample for EV Isolation Methods?
1,Red Oak,Smolder,4,100,2/2/2023,N,Y,Y,Y,N,-,-
2,Red Oak,Smolder,4,100,2/2/2023,Y,Y,Y,Y,Y,-,-
3,Red Oak,Smolder,4,100,2/2/2023,Y,Y,Y,Y,Y,-,-
4,Red Oak,Smolder,4,100,2/2/2023,Y,Y,Y,Y,Y,-,-
5,Red Oak,Smolder,4,100,2/2/2023,Y,Y,Y,Y,Y,-,-
6,Red Oak,Smolder,4,100,2/2/2023,N,Y,Y,Y,N,-,-
7,Peat,Smolder,4,<50,2/2/2023,N,Y,Y,Y,N,-,-
8,Peat,Smolder,4,100,2/2/2023,N,Y,Y,Y,N,-,-
9,Peat,Smolder,4,50,2/2/2023,N,Y,Y,Y,N,-,-
10,Peat,Smolder,4,75,2/2/2023,N,Y,Y,Y,N,-,-
11,Peat,Smolder,4,100,2/2/2023,N,Y,Y,Y,N,-,-
12,Peat,Smolder,4,100,2/2/2023,N,Y,Y,Y,N,-,-
13,Pine needles,Smolder,4,100,2/2/2023,Y,Y,Y,Y,Y,Y,-
14,Pine needles,Smolder,4,100,2/2/2023,Y,Y,Y,Y,Y,Y,-
15,Pine needles,Smolder,4,100,2/2/2023,Y,Y,Y,Y,Y,Y,-
16,Pine needles,Smolder,4,100,2/2/2023,Y,Y,Y,Y,Y,Y,-
17,Pine needles,Smolder,4,100,2/2/2023,Y,Y,Y,Y,Y,Y,-
18,Pine needles,Smolder,4,100,2/2/2023,Y,Y,Y,Y,Y,Y,-
19,Pine,Smolder,4,100,2/2/2023,Y,Y,Y,Y,Y,Y,-
20,Pine,Smolder,4,100,2/2/2023,Y,Y,Y,Y,Y,Y,-
