Molecule Name,13 Total Area MS1,14 Total Area MS1,15 Total Area MS1,16 Total Area MS1,17 Total Area MS1,18 Total Area MS1,19 Total Area MS1,20 Total Area MS1,21 Total Area MS1,22 Total Area MS1,23 Total Area MS1,24 Total Area MS1,25 Total Area MS1,26 Total Area MS1,27 Total Area MS1,29 Total Area MS1,30 Total Area MS1,49 Total Area MS1,50 Total Area MS1,51 Total Area MS1,52 Total Area MS1,53 Total Area MS1,54 Total Area MS1,55 Total Area MS1,56 Total Area MS1,57 Total Area MS1,58 Total Area MS1,59 Total Area MS1,60 Total Area MS1,62 Total Area MS1,63 Total Area MS1,64 Total Area MS1,65 Total Area MS1,66 Total Area MS1,67 Total Area MS1,68 Total Area MS1,69 Total Area MS1,70 Total Area MS1,101 Total Area MS1,102 Total Area MS1,103 Total Area MS1,104 Total Area MS1,105 Total Area MS1,106 Total Area MS1
Cer(d18:1/18:0),301964,465588,317798,344894,322957,316444,339939,377232,296891,354324,390895,321041,382195,319217,287490,535561,338499,509600,421952,248749,257619,237408,281084,367732,302741,298690,392313,332587,344262,305565,332527,294610,300942,348563,298313,323454,245502,279433,324416,360042,264077,315246,427053,344783
Cer(d18:2/20:0),67032,86748,46486,74955,67683,52547,73928,96758,64193,71484,67456,49596,59894,66990,35675,148464,62681,133802,68131,35611,41790,34301,39336,75228,56101,54579,98609,54096,70528,57423,62126,64325,61685,57770,42031,75337,38240,48951,74156,77166,46469,50721,88224,63171
Cer(d18:1/20:0),290889,453025,338689,368609,364772,320225,346545,494491,347402,386676,413133,319842,387860,389933,276421,505124,344223,614977,423223,241404,302210,288807,272974,444294,347477,376735,460732,354971,388167,359888,363231,300338,302809,349861,331747,363544,255032,322415,413291,384104,250751,307935,495555,321485
Cer(d16:1/24:1);Cer(d18:2/22:0),285946,379889,213503,285786,284939,263761,271889,378294,262633,316033,292358,221443,292496,360901,214898,438125,302028,541988,262900,194943,200272,207873,202492,321534,264460,253456,348997,249585,274271,234062,280952,193832,231760,291639,206467,281066,182661,260030,320547,320005,198615,229805,350285,217415
Cer(d16:1/24:0);Cer(d18:1/22:0),556261,882731,556800,645684,636318,612496,745195,829602,684825,753418,780358,624094,736178,707040,524541,982663,705452,1458924,712952,627624,565534,583611,555666,715782,679003,743202,866494,694576,608410,600384,673075,579135,690546,762305,630081,641614,542435,656861,759589,699253,527282,600614,827727,650984
Cer(d18:0/22:0),18213,32515,25090,36748,32903,29680,31008,33047,24226,51193,31629,39806,24450,29096,27248,52985,29507,70043,27327,32972,23743,26696,22193,36333,36868,43544,36909,39766,56047,38787,28374,19759,25281,43923,52055,36356,28635,26978,38801,26856,16721,22081,51657,14423
Cer(d18:2/23:0),32719,39122,25087,42950,46311,44965,38541,57776,39359,34147,39388,30111,29636,40960,16743,93281,34397,89178,44829,23810,39470,35493,23967,41957,41223,30460,49129,40288,40867,29877,45651,30440,30961,40935,20662,38193,26459,38959,54875,42737,22093,36214,65321,36553
Cer(d18:1/23:0),187762,240863,197978,241393,261121,255970,196439,265287,209499,241830,237534,195471,204062,226405,169954,371960,216206,499351,300128,226161,288701,207746,201273,254892,252296,247654,328645,228792,216930,197258,221497,194041,199801,247416,184800,196619,192265,215523,333659,244573,170775,259688,338741,246320
Cer(d18:2/24:1),917095,1195724,764312,1041671,940868,853712,1125996,1273014,954052,1001237,1007781,852528,993535,920336,759939,1035782,940725,1527520,804014,625186,680946,780412,781608,941081,831150,855129,1172033,861424,1019614,738991,969597,816987,890790,799833,893938,776147,696498,1007844,1111682,1025334,787131,809781,1093810,837617
Cer(d18:1/24:1),1420549,1893268,1327932,1612544,1349814,1526777,1511130,1753607,1490767,1468253,1690590,1309744,1542576,1512818,1341262,2331527,1519507,2506412,1700268,1235612,1217083,1313394,1538016,1501335,1376116,1359296,1832104,1476927,1395932,1234897,1307936,1100277,1338655,1577859,1299120,1204978,1250388,1420002,1671041,1662419,1234343,1323778,1850317,1387023
Cer(d18:2/24:0),376612,496935,309735,397163,364318,334190,480569,488281,394787,351688,451321,366620,448832,473670,283992,587819,378270,978546,359610,377917,375231,363607,287829,436787,400503,414043,485545,344720,435633,316850,356464,387013,390467,492360,356830,364825,293428,385582,406111,434156,306098,346812,467721,311661
Cer(d18:1/24:0),1846886,2659625,1707184,2143310,2027378,1872552,2595687,2290700,2084471,1905120,2560247,1904289,2154809,2016797,1730705,2688753,2043455,5522708,2574001,2093296,1920367,1745342,1595721,2161071,2000311,2213162,3052844,2118738,2185775,1625560,2071779,1846951,1932252,2696931,2055116,1691379,1744809,1913552,2201455,2203704,1560802,1931098,2447171,1876544
Cer(d18:1/25:0),11197,17461,10194,11996,16368,17236,20233,14587,17488,13293,18420,16032,12005,16970,16124,27415,19782,42449,13311,18253,24294,16470,17701,12843,14664,15425,26912,13984,18028,13856,11574,17316,23599,25077,14058,10330,13672,13621,17183,16571,6786,15567,17669,19057
FA 12:0,131870,169671,137117,162255,189489,383194,225188,363400,136631,118608,136866,148152,226369,168908,290422,157064,184996,166962,117883,116883,125805,186900,132128,165049,238311,102784,120097,103493,106626,293044,469688,99295,222781,196237,257926,131528,96581,247284,327230,230054,372303,369265,251560,255229
FA 13:0,58624,51664,52661,61246,60999,54735,79346,56250,44746,52505,56881,39072,71616,37871,42018,42477,51828,57516,53394,33302,35672,46306,23946,35786,40299,35250,44000,34341,33222,25678,37097,22989,27664,17533,50815,42968,16369,24840,42595,36283,43700,26383,31503,24411
FA 14:0,15881907,15051850,15312713,15186192,17209906,16860976,16220380,15189817,16752620,16708575,16277102,13868670,15454132,13432417,16029723,16447566,16143978,15041370,15400294,14006749,14827138,13622836,13037746,15178257,15517894,14424018,14051214,14225781,13537311,12564274,14669904,12840238,13843477,12089247,15543462,15268987,10929631,12662247,13363662,14355014,14390582,13234452,14059226,12267085
FA 15:0,137415,157760,103334,113789,149799,120382,164928,152893,123577,165347,144529,117168,169337,130531,101617,148794,142201,243869,150083,138183,121824,107149,109700,129476,130765,179573,168407,146818,164390,124781,185799,192317,157795,156494,109552,111026,128187,174256,158804,193746,167123,184104,218980,161666
FA 16:1,1767474,1998395,1391323,1675734,1667205,1325125,1304879,1561518,2160079,1876583,1731143,1416605,1826653,1390854,938894,1021874,1617336,2274680,2504383,1644149,918310,1126356,1136256,1198972,939872,1258140,1827827,1120900,1799556,927294,1184691,1469682,1176579,822286,1020492,1014780,804194,1955481,1613232,1968655,1266411,1137436,1414402,1294667
FA 16:0,10185493,9841077,10281105,10594585,11222282,10732209,10624584,11452549,10898032,11351210,10822518,10164916,11155390,9575114,11371302,12042325,11347628,11757822,10911369,11197803,10594064,9664336,10939267,9390249,10905174,10694901,11552739,10169936,11233917,11155480,11437455,11203793,9783751,11141337,10813976,10888872,9855517,11415810,11787574,12263211,11752314,12404506,12300867,12277051
FA 17:1,77878,83239,64715,79983,109340,51392,59186,67154,75487,79811,65244,62320,91797,60718,35324,42938,81232,130946,112429,67833,55913,54932,42567,74013,54965,80013,92093,57128,102175,45730,103855,100729,65255,38256,47094,43762,47761,106018,96292,105599,78623,76741,96162,69021
FA 17:0a,62314,40492,24766,48049,74117,33045,36326,64272,41970,49509,34614,36790,38727,58913,31681,50511,41424,138840,147570,43309,32600,43008,30174,126899,39990,160785,62783,37697,116258,31973,198928,173428,40279,29724,33484,30360,46134,57529,102097,110705,71024,98794,154148,85516
FA 17:0b,320417,325340,240429,288041,334889,239210,318532,404425,296119,320871,299889,271732,293684,315767,189673,390901,310447,481643,371829,241219,250374,242445,245967,337773,280557,437205,381463,244217,391944,238307,500855,457833,236524,279690,196157,225616,276444,335858,407917,408578,342147,365734,489397,342984
FA 18:3,450750,495763,345862,430619,396604,256723,347646,386503,467659,449300,347162,354125,425567,356722,222337,247476,404856,554294,463684,309235,257791,229184,246732,208058,258919,228671,492037,301810,380365,187431,170559,268502,306978,206942,227255,233861,195340,443171,327159,382026,272060,236699,338467,260212
FA 18:2,8669259,9109840,7399633,8019919,8127685,6221615,7493104,9192165,8598413,8332817,7735407,7266198,7852639,7613182,6075840,6273413,8041342,8570316,8687571,7220227,6293235,6368652,6139220,5721537,6785138,6304245,8791398,6456046,7547993,6185512,5734822,6485964,6409946,6092045,6361878,6516563,6368238,8811974,8236028,8195925,7011411,7265371,8363258,7385494
FA 18:1,10897840,10330042,9488576,10356819,10285340,8429864,8895983,10925525,10088672,9973669,9849534,8873720,9968991,9986392,8318348,8091646,10775632,11242377,11486277,9917988,8158675,8555529,8503629,9039546,8726079,9210022,10442756,8655503,10404850,8265004,9970981,10297748,8005845,7743270,8526136,8542698,8836124,11105642,10902220,11365274,10299587,10548646,11261791,10565790
FA 18:0,7210506,6144743,6421321,5874645,7114429,6627709,5935041,7073962,7068461,7257866,7455783,5944633,7086299,6528539,6531024,8277431,7323793,8025531,7012117,7324530,6748817,5486738,6730360,7027317,7054940,7565127,7315446,6965817,7079296,7041529,7913575,7695072,6074064,7249201,6680728,6977427,6621070,7040333,6781132,8577663,7999478,8640375,8159280,8175647
FA 19:3,1538,644,3097,14200,17770,9166,13014,6705,2413,21000,21448,1402,8997,8054,1275,1790,6758,2949,11681,2020,2333,2943,530,1966,9007,4087,3058,8517,1034,838,1009,271,806,562,7691,2340,308,539,3147,4272,2133,594,1145,2935
FA 19:1,59282,49167,33838,81478,74530,42654,40992,62433,49801,63896,46702,42563,53261,68089,9208,41265,47773,78268,59469,43803,32106,53766,24674,31070,28110,44899,52589,31458,61846,23064,55420,49202,25545,22477,32684,32422,31714,57555,88543,68616,31026,43560,65118,46258
FA 19:0a,22512,11409,15998,19593,22129,12345,9211,25748,20288,24582,14589,8310,16912,30184,3506,19921,18135,26001,31271,3026,17870,11846,5438,12665,22721,28101,19200,12764,20561,9905,26886,26161,5564,10646,10535,8383,15044,16145,24641,10495,3867,9560,36869,13314
FA 19:0b,155434,101118,115892,128639,183107,116848,92491,149996,100592,136391,136124,110060,108840,138124,60375,171069,115388,190729,131341,77109,153294,116949,85165,116527,124788,152640,183457,101269,163738,103860,135496,129107,97044,99587,70647,71239,95967,127712,171161,122464,87535,106977,197145,109772
FA 20:4,3256868,4155827,2690223,4796847,2941759,3023243,1944951,3585453,3984996,3906113,3251698,3103645,2242742,3644468,3245094,3345946,4124414,5512798,3997306,4580842,3910596,3771997,2983094,3033258,4236239,4255637,4679602,4235708,4484270,2012668,3983038,3218209,3345504,3764530,3569711,3495735,4164295,3989241,4372230,3671285,3522388,3224199,4455307,4370848
