Molecule Name,13 Total Area MS1,14 Total Area MS1,15 Total Area MS1,16 Total Area MS1,17 Total Area MS1,18 Total Area MS1,19 Total Area MS1,20 Total Area MS1,21 Total Area MS1,22 Total Area MS1,23 Total Area MS1,24 Total Area MS1,25 Total Area MS1,26 Total Area MS1,27 Total Area MS1,29 Total Area MS1,30 Total Area MS1,49 Total Area MS1,50 Total Area MS1,51 Total Area MS1,52 Total Area MS1,53 Total Area MS1,54 Total Area MS1,55 Total Area MS1,56 Total Area MS1,57 Total Area MS1,58 Total Area MS1,59 Total Area MS1,60 Total Area MS1,62 Total Area MS1,63 Total Area MS1,64 Total Area MS1,65 Total Area MS1,66 Total Area MS1,67 Total Area MS1,68 Total Area MS1,69 Total Area MS1,70 Total Area MS1,101 Total Area MS1,102 Total Area MS1,103 Total Area MS1,104 Total Area MS1,105 Total Area MS1,106 Total Area MS1
AC(12:0),380,3879,2109,882,1033,7075,1505,7806,3403,184,4656,891,17131,3410,598,13295,4742,6929,1504,1857,1051,898,1172,21079,24034,3438,11344,2030,415,11049,23085,4239,6923,12183,4094,2644,2410,15997,1614,3640,4506,5099,8131,3715
AC(14:0),72862,209319,90792,111007,77369,71461,63958,86990,148350,170814,134171,81942,229595,128720,47385,191539,172084,344797,116070,107177,103828,94552,93342,179199,216203,141528,239564,107558,94186,93207,93779,165082,121200,167807,90894,107308,133016,169089,161309,234110,132692,135953,249641,216339
AC(16:0),1484799,3007748,1491122,1961798,1516832,2326110,2556254,2553466,2437610,2725178,2070573,1684299,2936833,2480533,1498942,2335143,2726885,3608757,1534279,1951454,1617711,2503224,1409727,2373486,3188245,2114143,3072749,1842878,2180621,2010191,2887966,2396326,2616782,2267431,2422345,2181209,2579122,3755121,2366560,2924387,1982153,1900615,3650472,2330948
AC(18:0),449999,650385,329958,415564,328859,474790,493935,500182,509798,652252,432231,325821,558902,463894,300653,522598,508553,789208,370421,374204,325521,410290,362427,501501,751292,410737,641229,440172,443391,491479,596645,582925,383309,479904,471277,470435,545652,724162,416569,816947,502962,555925,987308,559798
AC(18:1),466715,734911,355572,552119,403320,663304,415947,721064,640901,704148,636096,315988,803926,595651,399466,691405,710483,900317,380624,369026,419229,622896,416231,759644,989828,507068,855785,511554,471872,609335,801141,663501,597240,590472,678085,620356,582303,1350456,644360,861673,653925,711727,961412,768025
AC(18:2),125818,227804,105826,131314,109286,129683,132082,193121,197233,193271,215945,103761,231720,174166,70976,175903,158335,273703,114425,97763,141517,135856,107907,147216,275252,137951,264119,98675,148587,168892,169024,151708,207513,161103,159593,117587,161619,451329,143977,184617,127224,203257,238728,150549
AC(24:0),36847,73094,16918,50584,29158,79477,51201,86693,41259,47298,35076,46889,52252,34979,27267,49770,43064,83075,21282,48068,24109,42204,26476,39002,54191,25881,75616,64539,40932,37912,54010,75415,35806,44634,39436,32368,38699,64374,37767,97209,33410,36437,63804,40930
ANA(16:0),47413,53103,24972,50188,42198,26891,28569,43699,52212,55933,45849,44370,50009,27735,19489,26992,28806,38548,33053,25195,27724,29869,25313,21815,26097,24053,42042,31822,47828,32397,27384,28146,24773,21320,29137,24207,18824,26987,38711,34811,26544,28978,24325,26669
ANA(18:3),12086,15974,10641,10935,9543,5710,9730,14501,19769,20426,22206,13800,18267,6729,3407,7923,10830,12118,12723,12830,8260,3989,6539,9285,7043,9912,16773,5015,12812,7026,9489,9759,1439,3304,8881,6980,4116,7308,14753,15216,5536,12619,11502,12040
CE(18:2),23867,35567,19700,31658,24859,32286,60524,19867,9726,43340,38824,29292,38557,29411,29945,33428,21666,38478,243,32944,56534,31557,41162,44565,30734,50436,32004,34408,29965,40547,35680,31972,48344,49556,58112,40282,18123,62193,45501,46977,32349,27569,60771,48250
CE(22:6),85576,79174,60995,191551,106025,123292,140146,82838,27566,237741,75199,97420,180411,86285,116721,140930,85221,140324,1356,96091,142322,101561,117978,301429,83814,386184,147894,101865,92797,222472,151978,111295,137365,141432,187461,139180,54923,135345,145219,112741,175240,139497,90308,169621
DG(16:0_18:1),1325012,1292510,1092024,1450746,1186533,1114049,1350950,1293542,1186191,1092724,1458299,1305857,1294196,1283280,1112219,1069974,1113977,1326560,2119381,1289377,882398,1071015,1049407,1127794,1020118,1032923,1244688,1102962,1158912,1035195,947084,1188676,1115923,1103589,1111620,1120934,1087875,1102528,1169947,1441694,1050909,1018201,1146294,1155051
DG(18:0_18:1),720835,881754,622767,860792,676928,698244,759858,819529,669673,588238,795468,777370,859612,733469,593122,633446,732186,972500,781319,676138,500563,560983,622295,566480,632902,635289,706166,773322,796603,576204,552968,658204,546514,595411,645079,568757,535080,736344,756302,847394,579113,584301,604457,774391
DG(18:1/18:1),563740,576906,442941,705597,498771,551899,702877,762582,613053,454852,711155,468049,674500,666479,627770,404548,467562,545833,1538793,489683,348250,519155,408537,561737,392757,430329,509582,535830,557075,454305,393058,476602,413456,437238,489929,591664,505646,500422,481650,669769,477752,413341,455596,568420
DG(18:1_18:2),454793,453905,341958,390898,388153,455875,566895,468739,532405,416199,536230,277996,527921,451810,445150,228445,310214,400423,1535762,313555,329078,313369,255662,357696,300029,299423,349418,450505,409624,308584,222193,324219,307546,285219,272059,397146,360756,407672,290944,360000,306389,288162,267190,364381
LPC(0:0/14:0),44640,72645,42850,68126,42781,5485,40192,31702,48584,52770,73351,46293,42629,38699,6729,34293,44500,114087,45449,65806,49437,24911,43030,28825,15203,44130,68794,54486,67850,15298,6192,41838,17231,14865,15591,19749,43823,19122,81056,59594,20949,26321,51685,30211
LPC(0:0/20:4),1526884,2011483,1177297,2145564,1280352,753289,1586067,1236299,1377125,1835352,2159620,1417474,1859266,2077717,475186,1052498,1865504,2472425,1406676,1190831,1751521,1896582,1373605,1174444,1705739,1952016,1874822,1583786,2364925,1029378,1326232,1618195,786327,1005381,1290510,1144994,1246527,1679344,2324448,1635342,1185580,1395162,1480686,1494889
LPC(0:0/22:6),614306,1142978,489627,911558,755068,240825,611693,770625,849793,1004137,778485,446251,584610,719521,177557,501789,569949,1039757,637046,488437,561055,538582,398781,485769,542647,763813,796009,753039,824925,400727,285733,520061,340349,440964,509713,646755,723367,542553,988913,823532,394719,489483,713215,485663
LPC(15:0/0:0),73822,83836,42471,56157,61519,59989,66640,72179,72095,64661,52534,66632,58509,72274,28443,65421,76302,130644,69423,59704,83499,75511,64581,63081,76664,76536,105444,65483,64844,56792,58060,70870,44687,47127,63033,61540,55896,75930,114591,89161,64304,78911,97203,86115
LPC(17:0/0:0),212178,246707,177798,195013,215387,240850,274176,275429,293104,297022,200227,253574,222783,264644,138516,294452,257362,529071,275164,221778,380898,326191,239207,323890,488280,380092,408804,301371,233868,265834,295673,273550,242696,317165,324549,282627,252503,344381,413634,341070,285197,356439,401102,365532
LPC(18:3_0:0),32674,36507,30132,43004,22025,1917,14559,10571,29890,47026,55737,36360,21810,43271,745,13545,47068,56302,41599,29035,43958,21225,25301,14475,18364,46853,43036,26165,59574,1168,2769,22230,6064,3705,9553,16916,27480,21287,60110,25995,7652,19165,26609,31017
LPC(20:0_0:0),72160,102082,88736,68707,102425,94733,94411,139696,95674,135032,87807,103135,114065,118533,62550,113837,98314,247257,131556,110204,139953,121076,90498,158146,153294,124111,178570,118593,115649,135781,128969,129551,122926,119172,143371,99759,85857,124883,187375,161057,96665,123077,182602,114242
