gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cyp1a1_29719,73.12118686,6.067117602,0.471102924,12.87853948,5.94E-38,1.03E-33
Cyp1a1_79654,94.98709264,5.251064301,0.561921654,9.344833504,9.20E-21,7.99E-17
Nqo1_29503,316.3608002,2.449948674,0.268112732,9.137755826,6.38E-20,3.69E-16
Tmem109_70229,450.1890898,0.999580462,0.128311481,7.790265193,6.69E-15,2.90E-11
Cyp1b1_72511,72.85735269,2.713662286,0.349953041,7.754361212,8.88E-15,3.08E-11
Txnrd1_31483,110.5997567,1.698436533,0.225279971,7.539225649,4.73E-14,1.37E-10
Txnrd1_72590,545.8137631,1.284725408,0.176966676,7.259702415,3.88E-13,9.62E-10
Rasa1_29997,658.2541888,-1.004163288,0.139393616,-7.203796828,5.86E-13,1.27E-09
Fbxo11_72686,2357.937496,-0.822711873,0.123188547,-6.678476945,2.41E-11,4.66E-08
Rfesd_55124,216.4275752,-1.358482482,0.216309695,-6.280266271,3.38E-10,5.87E-07
Uggt1_66719,1105.168538,-0.8295631,0.134476775,-6.16882061,6.88E-10,1.09E-06
Lipo5_56386,22.76466919,17.67133669,2.91823483,6.055488238,1.40E-09,2.02E-06
Crbn_78654,551.9967375,-0.767663545,0.128552621,-5.971589994,2.35E-09,2.41E-06
Rb1cc1_65517,288.2092592,-1.521365375,0.253778087,-5.994865004,2.04E-09,2.41E-06
Tm2d2_70064,48.98077698,1.95870048,0.327373045,5.983084152,2.19E-09,2.41E-06
Vps41_58137,389.8345497,-0.736674758,0.123319329,-5.973716878,2.32E-09,2.41E-06
Xiap_78640,704.573445,-0.735525244,0.123186788,-5.970812744,2.36E-09,2.41E-06
Snx13_32157,1948.48626,-0.77567528,0.130210538,-5.957085271,2.57E-09,2.48E-06
Nbeal1_63407,1085.613505,-1.271554729,0.215114577,-5.911057949,3.40E-09,3.11E-06
Polr2a_57084,482.4913005,-0.831957127,0.142190864,-5.850988598,4.89E-09,4.24E-06
Edc3_69882,195.1763519,0.779316551,0.134078076,5.812408505,6.16E-09,4.86E-06
Rptor_71994,550.2737629,-0.736427386,0.12660076,-5.81692704,5.99E-09,4.86E-06
Matr3_75030,1000.811735,-0.77075408,0.132799208,-5.803905677,6.48E-09,4.89E-06
Anp32a_76549,1045.322593,-0.858308422,0.14887087,-5.76545582,8.14E-09,5.23E-06
Csnk1g1_72572,85.39212622,-0.996106798,0.172709184,-5.767538109,8.04E-09,5.23E-06
Rabl6_73963,193.9578145,-0.913564003,0.157946879,-5.783995292,7.29E-09,5.23E-06
Tubgcp5_63771,338.250319,-0.806961698,0.139896893,-5.768260313,8.01E-09,5.23E-06
Ccdc88a_76169,452.9915565,-1.085054331,0.189439781,-5.727700501,1.02E-08,6.31E-06
Gclm_29258,99.07463953,1.049340316,0.184880593,5.675773217,1.38E-08,8.06E-06
Pomp_80505,650.7570318,0.861006271,0.151737463,5.674315708,1.39E-08,8.06E-06
Gm3150_31169,995.0970062,-1.310927092,0.231278521,-5.668174822,1.44E-08,8.08E-06
Wwp1_57205,2209.483807,-0.64080288,0.113386071,-5.651513212,1.59E-08,8.63E-06
Nceh1_80299,410.3138234,-1.116621641,0.198096076,-5.636768101,1.73E-08,9.11E-06
Maoa_30665,301.3132317,-1.062105325,0.189168784,-5.61459085,1.97E-08,1.01E-05
Kat2b_64780,682.8156747,-0.963890148,0.174291401,-5.5303368,3.20E-08,1.58E-05
Rab6a_68205,554.0981967,-0.845029133,0.153278058,-5.51304696,3.53E-08,1.61E-05
Zfp386_57297,380.2942098,-1.320055159,0.239340549,-5.51538452,3.48E-08,1.61E-05
Zfp992_80059,306.0799869,-1.679375871,0.304282064,-5.519141843,3.41E-08,1.61E-05
Asph_69919,464.6535851,-0.615441585,0.112539968,-5.46864902,4.53E-08,1.99E-05
