gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tmem109_70229,450.1890898,1.06636903,0.128920717,8.271510224,1.32E-16,2.07E-12
Ccdc88a_76169,452.9915565,-1.148810224,0.187355687,-6.131707236,8.69E-10,4.54E-06
Lipo5_56386,22.76466919,17.80860188,2.9039055,6.132638229,8.64E-10,4.54E-06
Fbxo11_72686,2357.937496,-0.748539723,0.123169442,-6.077316855,1.22E-09,4.79E-06
Zfp992_80059,306.0799869,-1.679233032,0.296660752,-5.660448923,1.51E-08,4.73E-05
Clip1_61747,794.9669647,-0.703762837,0.126941234,-5.544005029,2.96E-08,4.74E-05
Prpf40a_77619,685.3851756,-0.676695604,0.122137822,-5.540426339,3.02E-08,4.74E-05
Rpl21-ps4_67897,4041.366768,-1.006373755,0.180245948,-5.583336346,2.36E-08,4.74E-05
Snx13_32157,1948.48626,-0.725021803,0.129949173,-5.57927218,2.42E-08,4.74E-05
Zfp106_75666,767.0077088,-0.835071148,0.150736319,-5.539946548,3.03E-08,4.74E-05
Rassf3_62192,2328.67912,-0.635222521,0.11660471,-5.447657496,5.10E-08,7.27E-05
Rabl6_73963,193.9578145,-0.841610192,0.155607104,-5.408558917,6.35E-08,8.30E-05
Nbeal1_63407,1085.613505,-1.157386822,0.214724547,-5.390100198,7.04E-08,8.49E-05
Ubtf_69427,2070.460145,-0.740360811,0.138992624,-5.326619433,1.00E-07,0.000112014
Rasa1_29997,658.2541888,-0.728903051,0.137371394,-5.306075972,1.12E-07,0.000117036
Capns1_74461,2287.431549,-0.811967197,0.153558372,-5.287677805,1.24E-07,0.000121347
Wwp1_57205,2209.483807,-0.597274343,0.113209169,-5.275847803,1.32E-07,0.000121829
Gm13212_64546,116.3523328,-1.547866786,0.295050809,-5.246102502,1.55E-07,0.000129657
Pik3ca_30701,289.4405087,-0.752920421,0.143838726,-5.234476411,1.65E-07,0.000129657
Rab6a_68205,554.0981967,-0.800861079,0.152812933,-5.24079384,1.60E-07,0.000129657
