gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Eif2ak2_30238,859.971392,2.610444792,0.143112965,18.24044931,2.46E-74,4.28E-70
Slfn3_82374,1054.177457,5.254797829,0.309718012,16.96639403,1.46E-64,1.26E-60
Rnf213_57840,455.7843188,3.236415646,0.20025316,16.16162088,9.41E-59,5.44E-55
Cmpk2_29189,333.5518092,4.21587887,0.272631572,15.46364873,6.10E-54,2.65E-50
Cmpk2_70664,158.0069261,4.563373501,0.301818038,15.11961821,1.20E-51,4.17E-48
Parp14_60994,4388.92166,2.856955531,0.193123072,14.79344493,1.61E-49,4.67E-46
Usp18_67659,195.7381635,3.610807662,0.248691806,14.51920642,9.16E-48,2.27E-44
Usp18_32270,592.7051529,3.760219679,0.262632154,14.31743836,1.70E-46,3.69E-43
Ifit2_29861,423.9997775,4.407108698,0.309113833,14.25723545,4.04E-46,7.79E-43
Ifit1_29859,197.2456494,5.007547803,0.354572165,14.12278881,2.75E-45,4.77E-42
Daxx_72797,169.6877596,2.945786662,0.209378647,14.06918374,5.87E-45,9.27E-42
Tnip1_64961,696.6353901,2.354233719,0.169692944,13.87349209,9.17E-44,1.33E-40
Dtx3l_58986,219.6527702,2.83962916,0.207256216,13.70105666,1.00E-42,1.34E-39
Trafd1_66514,1001.358327,2.006149028,0.147784886,13.5747916,5.65E-42,7.00E-39
Oasl2_67419,724.8814331,3.593293849,0.268027049,13.40645978,5.54E-41,6.41E-38
Ifit2_65060,141.3470531,5.354053221,0.400088859,13.38216023,7.69E-41,8.34E-38
Ifit1_63654,148.2854893,5.396671806,0.417460807,12.92737357,3.15E-38,3.22E-35
Zc3h12a_61563,211.8812411,2.497657866,0.193990154,12.87517853,6.21E-38,5.99E-35
Daxx_77894,135.5661003,2.903024071,0.227047946,12.7859517,1.96E-37,1.79E-34
Isg15_29722,596.5282609,5.202256801,0.412317287,12.61712027,1.70E-36,1.47E-33
Daxx_80370,178.3908677,2.999203775,0.240170991,12.48778534,8.70E-36,7.19E-33
Trim30a_56089,918.4865251,2.836331029,0.228235585,12.42720773,1.86E-35,1.47E-32
Daxx_31547,2642.800296,2.328025516,0.187404241,12.4224804,1.97E-35,1.49E-32
Cxcl10_29431,479.3805705,8.420363832,0.69095188,12.18661396,3.66E-34,2.65E-31
Slfn4_31065,705.1601259,6.435737492,0.528489527,12.17760648,4.09E-34,2.84E-31
Myd88_81930,502.3983181,1.709437225,0.142602609,11.98741904,4.14E-33,2.76E-30
Marcksl1_62532,110.982718,3.668322375,0.306304871,11.97604977,4.74E-33,3.05E-30
Birc3_66120,207.0036048,2.628962308,0.220149902,11.94169191,7.17E-33,4.45E-30
Tor1aip1_73280,374.5873568,1.608060263,0.135565361,11.86188162,1.87E-32,1.12E-29
Birc3_31711,159.2503217,2.581327207,0.218487345,11.81453879,3.28E-32,1.90E-29
Tnfaip3_30780,104.780711,3.239862625,0.279551464,11.58950335,4.66E-31,2.61E-28
Nfkbia_55629,273.9885685,2.350298856,0.204059845,11.51769404,1.07E-30,5.83E-28
Mt2_76492,678.2622241,4.723883726,0.41060114,11.50479933,1.25E-30,6.56E-28
Il4i1_31821,280.5902918,5.316977423,0.462558739,11.49470754,1.40E-30,7.16E-28
Sp100_66000,538.8696793,2.097209672,0.182782479,11.47380034,1.79E-30,8.86E-28
Tnfaip2_69751,54.94926384,3.929388198,0.343109315,11.45229239,2.29E-30,1.10E-27
Ifit3b_56319,19.19411372,5.074172998,0.444202653,11.42310375,3.21E-30,1.50E-27
Tnfaip3_67100,75.35880568,3.334181665,0.292608984,11.39466609,4.45E-30,2.03E-27
Tnfaip2_69251,2776.166728,2.594801834,0.227892904,11.38605803,4.91E-30,2.18E-27
Myd88_81931,956.5156279,1.642354214,0.144334829,11.37877961,5.33E-30,2.31E-27
Parp9_79423,137.8227337,2.349944277,0.207516743,11.32411892,9.97E-30,4.22E-27
Gbp2_76070,738.5931739,3.436186025,0.304153179,11.29755092,1.35E-29,5.58E-27
Il4i1_71608,59.39359674,5.778354128,0.511978376,11.28632458,1.53E-29,6.19E-27
Tnfaip2_64104,101.9070178,3.866982778,0.345579262,11.18985772,4.57E-29,1.80E-26
Junb_57286,279.9603196,2.270857881,0.203292991,11.17036976,5.69E-29,2.20E-26
Tor3a_68066,138.1666718,2.558963495,0.229194896,11.16501084,6.05E-29,2.28E-26
Aida_80771,1447.041054,1.537743547,0.137911267,11.1502387,7.14E-29,2.64E-26
Slc39a14_63214,191.6744034,3.12167597,0.280123897,11.14391168,7.67E-29,2.77E-26
Gk_63112,215.6556933,2.245841375,0.204402904,10.98732619,4.40E-28,1.56E-25
Mxd1_69048,444.5675881,2.503201972,0.228438605,10.9578763,6.09E-28,2.11E-25
Mx1_30118,49.09184652,5.310344084,0.48619555,10.92223918,9.02E-28,3.01E-25
Upp1_31815,164.2785731,2.733850647,0.250264294,10.92385416,8.87E-28,3.01E-25
Icam1_29910,517.0097951,2.437012272,0.223427379,10.90740215,1.06E-27,3.38E-25
Sdc4_72308,905.7848499,1.666378697,0.152786954,10.90655097,1.07E-27,3.38E-25
Stxbp4_69034,477.586511,-1.601450257,0.146825173,-10.90719136,1.06E-27,3.38E-25
Trafd1_70537,83.26690646,2.267405489,0.208206731,10.89016422,1.28E-27,3.98E-25
Phf11d_80733,445.9975754,2.794005552,0.257650235,10.84418012,2.13E-27,6.47E-25
Oas1b_80080,59.43549611,3.015645929,0.279976826,10.77105551,4.72E-27,1.41E-24
Gbp5_77887,203.9689197,5.30889508,0.495707507,10.70973307,9.16E-27,2.69E-24
Ifi44_29813,300.5197454,4.195384457,0.391780231,10.70851494,9.28E-27,2.69E-24
Sbno2_67698,247.7660138,1.984451639,0.185697957,10.68644844,1.18E-26,3.35E-24
Rtp4_60626,163.9878585,3.475423895,0.32578486,10.66784962,1.44E-26,4.03E-24
Eif2ak2_65920,131.7694237,2.501078728,0.235063789,10.64000004,1.94E-26,5.35E-24
Cxcl1_29501,113.7134583,5.439181879,0.511997825,10.62344723,2.32E-26,6.29E-24
Parp10_69190,85.82918737,2.324697122,0.219015003,10.61432822,2.56E-26,6.83E-24
Stat2_70852,176.5812297,2.253379501,0.21270054,10.59414096,3.17E-26,8.34E-24
Cd83_77099,170.7663175,2.999775509,0.284134543,10.55758823,4.69E-26,1.21E-23
Serpine1_30978,373.6954901,3.117929488,0.29549413,10.55157844,5.00E-26,1.27E-23
Ifit1_72951,72.02898389,5.089798827,0.48283603,10.5414644,5.56E-26,1.40E-23
Gbp3_80156,1651.524896,3.873208343,0.368380654,10.51414698,7.44E-26,1.84E-23
Ddx60_58915,172.7061474,2.952304886,0.280881869,10.51084177,7.70E-26,1.88E-23
Oasl2_67043,119.26334,3.865840004,0.36939862,10.4652259,1.25E-25,3.01E-23
Rsad2_31088,438.463698,5.152911268,0.496580686,10.37678552,3.16E-25,7.52E-23
Malt1_69431,81.63563832,2.626032439,0.253399682,10.36320337,3.65E-25,8.55E-23
Znfx1_76964,1530.026241,2.182816493,0.211074235,10.34146348,4.57E-25,1.06E-22
Nfkbia_29762,2351.639336,2.483907753,0.240519791,10.32724893,5.31E-25,1.21E-22
Adm_30365,266.8607443,3.137799674,0.304483529,10.30531826,6.67E-25,1.50E-22
Sbno2_74429,175.0373754,2.194294227,0.214359122,10.23653302,1.36E-24,3.03E-22
Cd40_75097,82.71153965,2.551787946,0.251766198,10.13554626,3.84E-24,8.44E-22
Socs3_79479,98.70128629,3.115198228,0.30941104,10.06815473,7.64E-24,1.66E-21
Ankfy1_64798,942.895104,0.93519057,0.092997414,10.05609224,8.64E-24,1.85E-21
Ddx58_80748,74.79529718,2.546802727,0.254481502,10.0078108,1.41E-23,2.98E-21
Irf7_75384,44.72014361,4.094226317,0.411341735,9.953345278,2.44E-23,5.10E-21
Susd6_58062,336.4948488,1.588347625,0.160057112,9.92363043,3.29E-23,6.79E-21
Ddx58_76804,187.9728918,2.132959915,0.216016398,9.874064832,5.39E-23,1.10E-20
Nfkbiz_60338,128.4496128,2.000851844,0.203010329,9.855911541,6.46E-23,1.30E-20
Rnd1_56616,323.2604017,2.609975849,0.265304807,9.837650046,7.75E-23,1.55E-20
Pml_73081,104.1767834,2.360643805,0.240124878,9.830900594,8.29E-23,1.63E-20
Mitd1_67240,323.4347889,1.467432861,0.149746006,9.799479128,1.13E-22,2.21E-20
Cebpd_68861,1487.431767,2.571698132,0.262490849,9.797286813,1.16E-22,2.23E-20
Arid5a_72315,214.5980751,2.263177989,0.231056783,9.794899578,1.18E-22,2.26E-20
Ccl7_30624,91.69224362,5.569101394,0.568996063,9.787592141,1.27E-22,2.40E-20
Cd274_61345,904.7786154,3.282724012,0.337668756,9.721728618,2.44E-22,4.55E-20
Trim21_55307,113.9694769,1.925514378,0.198196787,9.715164452,2.60E-22,4.80E-20
Phf11d_30871,110.5502651,2.701298923,0.278341736,9.704972594,2.87E-22,5.25E-20
Slfn4_79582,108.8151164,6.42742816,0.665097679,9.663886012,4.29E-22,7.76E-20
Vcan_73200,100.2073262,3.353137455,0.347547694,9.647992242,5.01E-22,8.97E-20
Csf2_61958,31.97476258,4.929549686,0.51213803,9.625431807,6.24E-22,1.11E-19
Irgm1_60585,1020.038065,2.826783179,0.293903526,9.618064878,6.71E-22,1.18E-19
Sp140_70804,250.9182985,2.103727115,0.219237329,9.595661133,8.34E-22,1.45E-19
Batf_54960,91.77950606,2.555910609,0.266961882,9.574065726,1.03E-21,1.75E-19
Slfn5_67218,766.8486668,2.23128238,0.233031493,9.575025024,1.02E-21,1.75E-19
Ptpn2_60750,272.3535509,1.485246832,0.155473972,9.55302558,1.26E-21,2.12E-19
Csf1_66545,293.7565521,2.262874007,0.237768976,9.517112121,1.78E-21,2.97E-19
Pnp_75513,1019.636963,1.690259367,0.178487097,9.469924709,2.80E-21,4.63E-19
Fas_71532,106.3057951,2.809455455,0.29733216,9.448878489,3.42E-21,5.61E-19
Rnf19b_67473,205.8371548,1.769538266,0.187294456,9.44789455,3.46E-21,5.61E-19
Arrdc4_31686,238.1459242,1.633051417,0.173126535,9.432704305,4.00E-21,6.42E-19
Scrn3_70196,577.849117,-1.348770626,0.143106664,-9.424932322,4.30E-21,6.85E-19
Gbp3_70521,94.73835798,3.745542197,0.398520117,9.398627678,5.53E-21,8.72E-19
Adar_60088,161.9165283,1.973593661,0.210548881,9.373565185,7.01E-21,1.10E-18
Tnip3_58404,41.78169214,3.255616652,0.348520055,9.341260581,9.52E-21,1.48E-18
Slc25a22_74808,104.8412776,1.886396775,0.20245262,9.317719759,1.19E-20,1.83E-18
Sdc4_81860,4040.048791,1.435446891,0.154282194,9.304034705,1.35E-20,2.06E-18
Sod2_64335,4719.234389,2.071090363,0.222667056,9.301287772,1.39E-20,2.09E-18
Selp_72839,57.88974077,4.118568992,0.445144616,9.252204444,2.20E-20,3.29E-18
Sod2_30063,2969.507122,1.901172294,0.20616817,9.221463689,2.93E-20,4.35E-18
Arg2_81876,72.28062021,2.846473749,0.309788663,9.18843744,3.99E-20,5.86E-18
Tnf_32215,104.2696554,4.367167022,0.476057416,9.173614096,4.57E-20,6.67E-18
Gbp2_74664,1425.291118,2.928956639,0.32138744,9.113475736,7.98E-20,1.15E-17
Gm5431_66874,95.89462467,2.631591317,0.289656049,9.085228242,1.03E-19,1.48E-17
Herc6_30292,562.6834019,2.742666642,0.301898008,9.084745735,1.04E-19,1.48E-17
Gch1_54668,146.9579898,2.322927167,0.256815028,9.045137231,1.49E-19,2.11E-17
Bst2_79864,141.4126612,2.282429235,0.252727987,9.031169287,1.70E-19,2.37E-17
Psme2_75632,446.861382,2.033328471,0.225162187,9.030505975,1.71E-19,2.37E-17
Herc6_79363,46.73915469,3.127592362,0.346772223,9.019154804,1.90E-19,2.61E-17
Mx2_57845,22.09320329,4.202456029,0.466024947,9.017663236,1.92E-19,2.63E-17
Bcl6b_70170,317.1211233,1.998705368,0.221733875,9.013982947,1.99E-19,2.69E-17
Ccl20_55130,259.8613966,6.026030736,0.669646218,8.998827403,2.28E-19,3.07E-17
Cxcl16_69697,1441.781206,1.577880919,0.175375125,8.997176307,2.32E-19,3.09E-17
Cd40_30424,160.871329,2.36811075,0.26381049,8.976560223,2.79E-19,3.70E-17
Sept4_73231,1248.917904,-1.475859456,0.164861876,-8.952096725,3.49E-19,4.59E-17
Ackr1_58767,26.42856855,5.148947502,0.575437601,8.947881567,3.62E-19,4.73E-17
Ptpn1_70837,505.058903,1.557127087,0.174134957,8.94207066,3.82E-19,4.95E-17
Phf11c_62739,106.352662,2.08100813,0.233178386,8.924532704,4.48E-19,5.75E-17
Irak2_68853,285.472195,1.3123659,0.147387897,8.904163262,5.38E-19,6.86E-17
Enpp4_54984,967.7563003,1.557881753,0.175096759,8.897262099,5.72E-19,7.25E-17
Socs3_31487,174.3251883,2.952408072,0.332913488,8.868394286,7.42E-19,9.33E-17
Stat1_63360,1647.287614,2.476457763,0.279529975,8.85936387,8.05E-19,1.00E-16
Slfn3_82373,67.34455297,2.796708279,0.316221337,8.844147912,9.22E-19,1.14E-16
Irf2_70676,171.7116354,1.213829337,0.138326726,8.775089005,1.71E-18,2.10E-16
Etv6_59751,359.1813331,1.348453174,0.153920634,8.760704415,1.94E-18,2.37E-16
Slfn8_74435,61.80965407,3.006998168,0.344112573,8.738414123,2.36E-18,2.87E-16
Vcam1_31980,614.8862095,2.363801435,0.271987126,8.690857813,3.60E-18,4.34E-16
Plac8_55919,534.296673,2.536424173,0.292106962,8.68320342,3.85E-18,4.61E-16
Csf1_76569,250.0349582,2.317921502,0.267368155,8.669400071,4.34E-18,5.16E-16
Pnp2_33339,248.5773736,1.750917173,0.202379781,8.651640801,5.08E-18,5.99E-16
Cxcl5_30049,237.0402813,5.784302279,0.670790111,8.623117997,6.52E-18,7.64E-16
Pfkfb3_64529,48.59930405,2.640592734,0.306506669,8.615123256,6.99E-18,8.14E-16
AW112010_29636,1866.364594,3.366899327,0.391516617,8.599633281,8.00E-18,9.25E-16
Ccl3_30767,65.65157858,5.373670225,0.625388134,8.592536274,8.51E-18,9.78E-16
Sp100_74201,168.0550492,2.112824619,0.246314955,8.577735829,9.68E-18,1.10E-15
Mx1_70428,31.53714132,5.623702024,0.657098057,8.558390893,1.14E-17,1.30E-15
Mefv_57253,36.57678641,4.705045767,0.551914712,8.524950798,1.53E-17,1.72E-15
Il1b_30437,58.91549249,4.946585333,0.580819865,8.516556741,1.64E-17,1.84E-15
Gm13889_55024,89.96725787,3.530928771,0.414861833,8.511095715,1.72E-17,1.92E-15
Calcoco1_30287,2190.972547,-1.322357212,0.155388168,-8.510025134,1.74E-17,1.92E-15
Atf4_29798,1184.45272,1.191827249,0.140100808,8.506926325,1.79E-17,1.96E-15
Rsad2_65054,45.15538024,5.43298629,0.639170498,8.500057977,1.89E-17,2.07E-15
Ccl2_30705,108.8109304,5.782946993,0.681027095,8.491507948,2.04E-17,2.21E-15
F830016B08Rik_53940,112.6596902,4.489794227,0.528840732,8.489879768,2.07E-17,2.23E-15
Pfkfb3_79249,687.0196886,2.133290078,0.251291751,8.489296086,2.08E-17,2.23E-15
Slc39a14_79940,89.2862213,2.623426212,0.309330153,8.480990902,2.23E-17,2.38E-15
F13a1_59768,139.2350004,2.350940748,0.277384886,8.475374364,2.34E-17,2.48E-15
Ncf4_69588,199.8246815,1.776980999,0.211022345,8.420819134,3.74E-17,3.93E-15
Ppp1r14c_67602,5064.521422,-1.367260241,0.162399941,-8.419093199,3.79E-17,3.97E-15
Atf3_29935,50.9034191,3.14929462,0.374208359,8.41588528,3.90E-17,4.05E-15
Dcp2_59004,519.8309233,1.170734366,0.139767636,8.376290831,5.46E-17,5.64E-15
Atf3_72119,96.25398327,2.699975081,0.322892879,8.361829135,6.18E-17,6.34E-15
Acod1_54942,346.2776628,8.368601613,1.000894408,8.361123356,6.21E-17,6.34E-15
Adm_65253,50.64839114,3.212919377,0.385143314,8.342139812,7.30E-17,7.41E-15
Trim56_61773,975.4243191,1.294677525,0.156519344,8.271677443,1.32E-16,1.33E-14
Znfx1_67638,29.24790845,3.257655998,0.394381687,8.260160416,1.45E-16,1.46E-14
Parp12_58470,346.8152939,1.817691968,0.220891131,8.22890425,1.89E-16,1.88E-14
Ifi204_56389,111.4299028,3.865458519,0.470680502,8.21248916,2.17E-16,2.15E-14
Tap2_68940,1337.749441,1.957378073,0.238752695,8.198349656,2.44E-16,2.40E-14
Sp140_78080,262.2901114,1.974270877,0.241754979,8.166412486,3.18E-16,3.10E-14
Tnip1_29881,23.63405699,3.276319158,0.401191545,8.16647109,3.18E-16,3.10E-14
Il1f9_29621,55.56332055,5.275655092,0.646875229,8.155599185,3.47E-16,3.36E-14
Vcan_79994,27.49950923,3.215497597,0.394283109,8.155301422,3.48E-16,3.36E-14
Nampt_76993,737.7531778,2.081806907,0.255658592,8.142917826,3.86E-16,3.70E-14
Ptafr_54796,63.49637751,2.877603629,0.353498953,8.14034555,3.94E-16,3.76E-14
Bst2_29565,56.92629128,2.775909469,0.341097893,8.138160705,4.01E-16,3.81E-14
Srgn_67549,558.0733377,1.980547354,0.243608563,8.130039964,4.29E-16,4.05E-14
Vcam1_80236,320.3482849,2.093793242,0.257806775,8.12156019,4.60E-16,4.32E-14
Syne1_71526,997.0917348,-1.301213335,0.160847102,-8.089753035,5.98E-16,5.58E-14
