gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Txnrd1_31483,110.5997567,2.21118074,0.225126188,9.821961463,9.06E-23,1.57E-18
Osgin1_30257,147.2499411,2.269941483,0.25129967,9.032807265,1.67E-19,1.45E-15
Mt2_76492,678.2622241,3.281532771,0.368048255,8.916039487,4.83E-19,2.80E-15
Txnrd1_72590,545.8137631,1.563894774,0.177051511,8.832993092,1.02E-18,4.42E-15
Hmox1_31505,40.38639227,3.237918272,0.373983749,8.657911688,4.80E-18,1.67E-14
Tnfrsf12a_60668,848.2356329,2.090414427,0.244668847,8.543852024,1.30E-17,3.76E-14
Gja1_75237,2391.471608,1.400115306,0.171330524,8.1720132,3.03E-16,7.52E-13
Rhof_64396,48.04786739,2.301756906,0.283961307,8.105882202,5.24E-16,1.14E-12
Map2k3_65034,613.0607363,1.161317681,0.144449203,8.0396268,9.01E-16,1.74E-12
Gclm_29258,99.07463953,1.365922932,0.184497067,7.403494,1.33E-13,2.30E-10
Hspa1a_69206,45.72030899,4.732390182,0.641689454,7.374891627,1.64E-13,2.60E-10
Tmem109_70229,450.1890898,0.918455693,0.129286975,7.10400791,1.21E-12,1.75E-09
Cebpd_68861,1487.431767,1.664723798,0.235190701,7.078187143,1.46E-12,1.95E-09
Stx11_69405,251.4379315,1.699543407,0.245874537,6.912238356,4.77E-12,5.91E-09
Spred1_58716,1667.894531,0.974955829,0.143232449,6.806808365,9.98E-12,1.15E-08
Hmox1_55177,14.4050314,3.293698044,0.494682945,6.658200118,2.77E-11,3.01E-08
Atf3_29935,50.9034191,2.261607316,0.340195608,6.647961531,2.97E-11,3.03E-08
Epha2_58921,908.8258831,1.029003896,0.155350988,6.623735758,3.50E-11,3.38E-08
Fosl1_30439,15.23246855,4.472720778,0.682258656,6.555755268,5.54E-11,5.06E-08
Nrg1_67125,96.49985668,2.148718579,0.335343268,6.407519646,1.48E-10,1.28E-07
Lipo5_56386,22.76466919,18.56435082,2.902465416,6.396062712,1.59E-10,1.32E-07
Slc25a25_80010,119.9661097,1.296169498,0.206123663,6.288310036,3.21E-10,2.42E-07
Srxn1_75314,11.6286915,2.68538356,0.426737622,6.292821214,3.12E-10,2.42E-07
Zfp655_60623,704.3616839,0.608807854,0.097121399,6.268524352,3.64E-10,2.64E-07
