gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tmem109_70229,450.1890898,1.048434198,0.129511312,8.095309858,5.71E-16,4.53E-12
Wnk1_72383,2003.343486,-0.844864136,0.166713763,-5.06775279,4.03E-07,0.001596875
Hbs1l_72436,450.8207087,-0.83189487,0.171178926,-4.85979724,1.18E-06,0.003107643
Zfp106_75666,767.0077088,-0.711561133,0.150682825,-4.722244453,2.33E-06,0.004626634
Mtus1_80286,1825.347256,-0.868019496,0.193485272,-4.486230326,7.25E-06,0.007189629
Polr2a_57084,482.4913005,-0.647206831,0.141194235,-4.583804927,4.57E-06,0.007189629
Rmnd5a_56652,799.9511271,-0.665899075,0.147416218,-4.517135779,6.27E-06,0.007189629
Sntb2_81965,674.9206904,-0.609353707,0.135626994,-4.492864497,7.03E-06,0.007189629
Arf1_31811,851.1740926,6.49574689,1.472916463,4.410125796,1.03E-05,0.007451511
Cdk19_29897,385.1542113,-0.701052117,0.158324783,-4.427936704,9.51E-06,0.007451511
Mycbp2_30396,184.29323,-0.6013885,0.13602703,-4.421095557,9.82E-06,0.007451511
Nck1_29117,209.7983391,-0.722529293,0.165775467,-4.358481414,1.31E-05,0.00865917
Mettl9_60859,1375.040591,-0.68526894,0.158043885,-4.335940862,1.45E-05,0.008857882
Cetn3_30290,2634.649084,-0.544967787,0.126345566,-4.313311533,1.61E-05,0.00911431
Slc34a2_74194,2116.712434,0.702451407,0.16352987,4.295554122,1.74E-05,0.009217061
Ryk_56738,583.3405326,-0.546426433,0.128559723,-4.250370323,2.13E-05,0.010582834
Itfg1_30888,854.9498192,-0.643224212,0.152672955,-4.2130855,2.52E-05,0.011103441
Rabl6_73963,193.9578145,-0.654567875,0.155224631,-4.216907275,2.48E-05,0.011103441
Ubtf_69427,2070.460145,-0.582075952,0.139140146,-4.183378915,2.87E-05,0.011993205
Zbtb25_55165,154.7397418,-0.888865787,0.213778064,-4.157890531,3.21E-05,0.012741999
Mecom_63983,418.3381695,-0.744710618,0.181535208,-4.102293028,4.09E-05,0.014752759
Uggt1_66719,1105.168538,-0.549066744,0.133717791,-4.106160749,4.02E-05,0.014752759
Rab21_30198,295.0291826,-0.707687744,0.17485603,-4.047259597,5.18E-05,0.017565132
Tbl1xr1_67830,443.041746,-0.662422938,0.163909401,-4.041396861,5.31E-05,0.017565132
Ifitm3_29087,1082.11257,-0.855869982,0.21365961,-4.005764036,6.18E-05,0.01961835
Inpp5k_68977,388.8325128,-0.77412918,0.194374435,-3.982669731,6.81E-05,0.020570284
Wwp1_57205,2209.483807,-0.450494631,0.113295551,-3.976278208,7.00E-05,0.020570284
Sept2_72375,1050.394666,0.379549545,0.096225094,3.944392559,8.00E-05,0.022669283
Matr3_75030,1000.811735,-0.514937559,0.130964307,-3.931892353,8.43E-05,0.023057792
Arih1_65488,1347.842505,-0.391561809,0.100003752,-3.915471178,9.02E-05,0.023386141
Nqo1_29503,316.3608002,1.057458444,0.270282322,3.912421776,9.14E-05,0.023386141
Sfr1_62065,2605.069356,-0.524398934,0.134424524,-3.901065946,9.58E-05,0.023744988
F8a_54756,247.3276048,-0.442026515,0.113746984,-3.886050408,0.000101888,0.024496431
Mff_71599,1753.972574,-0.419704299,0.108530453,-3.867156981,0.000110112,0.025694854
Top2b_71230,696.4215724,-0.52462185,0.136153396,-3.853167565,0.0001166,0.026431449
Zfp106_69233,2006.424091,-0.548886027,0.142745692,-3.845202034,0.000120453,0.026546537
Fbxo11_72686,2357.937496,-0.471491511,0.123243486,-3.825691117,0.000130406,0.027227341
St5_69450,575.9845223,-0.425102394,0.110947401,-3.831566946,0.00012733,0.027227341
Bhlhe41_56554,174.3713528,-0.894673298,0.234758335,-3.81103955,0.000138384,0.027448392
Ehd2_70002,412.5240199,0.656206378,0.17200293,3.81508836,0.000136134,0.027448392
B4galt6_60896,220.9066475,-0.994807234,0.261920108,-3.798132344,0.00014579,0.028212236
Cenpb_54993,1169.255748,-0.520822873,0.137429177,-3.789754718,0.000150796,0.028486104
Rgma_63506,227.9167821,-0.920000302,0.243689423,-3.775298463,0.000159816,0.029487946
Cdr2_58483,435.7257732,-0.829998769,0.221054918,-3.754717498,0.000173537,0.030672427
Mecp2_55633,292.8171792,-0.448872976,0.119568834,-3.754096792,0.000173968,0.030672427
Ddrgk1_66329,1394.856256,0.428500032,0.115143181,3.721453826,0.000198079,0.03072764
Foxp1_71179,275.2013318,-0.719298489,0.19308583,-3.725278481,0.0001951,0.03072764
Hist2h2ac_80585,217.9179041,0.730559548,0.195418649,3.738433102,0.000185171,0.03072764
Lrp6_29998,201.6432593,-0.638297162,0.171711502,-3.71726504,0.000201391,0.03072764
