gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tmem109_70229,450.1890898,1.131343853,0.128835445,8.781308983,1.62E-18,2.26E-14
Cyp1a1_29719,73.12118686,3.12069796,0.472813917,6.600266716,4.10E-11,2.87E-07
Mtus1_80286,1825.347256,-1.174878441,0.19323856,-6.079937882,1.20E-09,5.61E-06
Nqo1_29503,316.3608002,1.602542358,0.268845848,5.96082243,2.51E-09,8.78E-06
Ttc30b_62618,207.1380072,1.587137618,0.277471236,5.720007748,1.07E-08,2.98E-05
Zranb2_68671,660.3422353,0.926124555,0.164708598,5.622806378,1.88E-08,4.38E-05
Polr2a_57084,482.4913005,-0.778679778,0.141397768,-5.507016054,3.65E-08,7.29E-05
Edc3_69882,195.1763519,0.678491879,0.13444316,5.046682036,4.50E-07,0.000702057
St5_69450,575.9845223,-0.560291453,0.111041014,-5.045806352,4.52E-07,0.000702057
Zcchc10_67978,61.81611776,-0.937885121,0.193550164,-4.845695295,1.26E-06,0.001765231
Zfp106_75666,767.0077088,-0.714665557,0.150757865,-4.740486046,2.13E-06,0.002711788
Fbxo11_72686,2357.937496,-0.576713938,0.123048626,-4.686878314,2.77E-06,0.003234297
Sept2_72375,1050.394666,0.447790597,0.09595541,4.666652932,3.06E-06,0.003294835
Rhof_64396,48.04786739,1.320507632,0.287127542,4.599028098,4.24E-06,0.003959141
Ubtf_69427,2070.460145,-0.639694014,0.138923197,-4.604659455,4.13E-06,0.003959141
Stradb_71650,190.2924864,-0.854045184,0.188073294,-4.541023155,5.60E-06,0.004895266
Cyp1a1_79654,94.98709264,2.478702961,0.562794841,4.40427449,1.06E-05,0.007220132
Ddrgk1_66329,1394.856256,0.504886121,0.114804842,4.397777233,1.09E-05,0.007220132
Ehd2_70002,412.5240199,0.761519707,0.17158408,4.438172275,9.07E-06,0.007220132
Itfg1_30888,854.9498192,-0.670310182,0.152580193,-4.393166429,1.12E-05,0.007220132
Ryk_56738,583.3405326,-0.565300503,0.128780255,-4.389651984,1.14E-05,0.007220132
Slco3a1_63917,126.0971078,0.937659643,0.213241875,4.39716468,1.10E-05,0.007220132
Clip1_61747,794.9669647,-0.555607068,0.126920833,-4.377587615,1.20E-05,0.00729966
Pls3_57065,2246.709331,-0.595669146,0.136500824,-4.363850195,1.28E-05,0.007449806
1190002N15Rik_55292,52.32000137,-1.168368451,0.269807314,-4.330380948,1.49E-05,0.007662382
Angptl2_72005,136.5670634,0.904477207,0.208036441,4.347686408,1.38E-05,0.007662382
Cyp1b1_72511,72.85735269,1.52018125,0.351950533,4.31930373,1.57E-05,0.007662382
Rmi1_56327,369.0682731,-0.891952138,0.205611462,-4.338046775,1.44E-05,0.007662382
Uggt1_66719,1105.168538,-0.576661625,0.133607657,-4.316082169,1.59E-05,0.007662382
Rptor_71994,550.2737629,-0.536198253,0.12542031,-4.275210702,1.91E-05,0.00890558
Rfk_77789,1487.773723,-0.5096575,0.119648634,-4.259618191,2.05E-05,0.009242021
Lrp6_74300,349.1876888,-0.542127381,0.127914599,-4.238197856,2.25E-05,0.009271966
Zbtb25_55165,154.7397418,-0.914583069,0.215578104,-4.242467357,2.21E-05,0.009271966
Zmym4_60248,85.45199704,-0.828688318,0.195009093,-4.249485513,2.14E-05,0.009271966
Csnk1g1_72572,85.39212622,-0.712313338,0.169920312,-4.192043485,2.76E-05,0.010087918
Mcrip1_63863,602.8603019,0.655136832,0.156606336,4.183335419,2.87E-05,0.010087918
Rasa1_29997,658.2541888,-0.575125814,0.137445275,-4.184398571,2.86E-05,0.010087918
Rif1_60095,404.9446919,-0.661961694,0.157220747,-4.210396561,2.55E-05,0.010087918
Top2b_71230,696.4215724,-0.570797232,0.136216215,-4.190376552,2.78E-05,0.010087918
Txnrd1_31483,110.5997567,0.954473837,0.228210433,4.182428575,2.88E-05,0.010087918
Uba6_66827,119.5038691,-0.897217978,0.215211708,-4.169001713,3.06E-05,0.010439903
Slc39a9_78760,595.6668903,-0.53911147,0.129815615,-4.152901545,3.28E-05,0.010935832
AA986860_70183,153.2066573,0.698311322,0.16846428,4.145159558,3.40E-05,0.011001349
Rabl6_73963,193.9578145,-0.644128353,0.155553573,-4.140877909,3.46E-05,0.011001349
Terf2_56545,82.48099075,-0.711752545,0.172776624,-4.119495606,3.80E-05,0.011805378
Cdk19_29897,385.1542113,-0.646625344,0.158457383,-4.08075239,4.49E-05,0.01336294
Map2k4_70072,213.6330773,-0.927536756,0.227209905,-4.082290142,4.46E-05,0.01336294
Tnks2_67404,859.7863687,-0.727291003,0.178847738,-4.066537322,4.77E-05,0.01362462
Trappc10_70369,264.9970042,-0.554620999,0.13627587,-4.069840094,4.70E-05,0.01362462
Cd164_68574,535.1034159,-0.57782361,0.142391251,-4.057999382,4.95E-05,0.013849663
Mecp2_55633,292.8171792,-0.484701926,0.12009083,-4.036127701,5.43E-05,0.014401561
mt-Nd3_82088,1565.189528,-1.800985685,0.446318559,-4.035202322,5.46E-05,0.014401561
Txnrd1_72590,545.8137631,0.717577127,0.177455958,4.043691378,5.26E-05,0.014401561
Angptl2_64658,46.4263761,1.092677051,0.271580756,4.02339646,5.74E-05,0.014663863
Mfap3l_57239,269.0588593,-0.83329516,0.207171455,-4.022248917,5.76E-05,0.014663863
Kcnk2_32066,153.0626828,-1.273928278,0.317513333,-4.012204042,6.02E-05,0.014817012
Mecom_63983,418.3381695,-0.728151108,0.181521411,-4.011378614,6.04E-05,0.014817012
Trrap_70161,139.2166521,-0.785104905,0.196427516,-3.996919177,6.42E-05,0.015479883
Mios_57885,276.0333474,-0.538393099,0.135126837,-3.984353589,6.77E-05,0.016045557
Ppfibp1_75630,516.6709531,0.794003825,0.200226679,3.965524631,7.32E-05,0.017077109
Marf1_60424,593.7404474,-0.453728065,0.11468481,-3.956304788,7.61E-05,0.017458482
Ap3b1_60863,1054.009339,-0.376395334,0.095740802,-3.931399439,8.45E-05,0.01748668
Apc_69392,520.9747477,-0.636525891,0.161324548,-3.94562326,7.96E-05,0.01748668
Crbn_78654,551.9967375,-0.501257045,0.127433716,-3.933472699,8.37E-05,0.01748668
Gramd1a_63402,85.37314987,0.746999357,0.190003592,3.931501231,8.44E-05,0.01748668
Micalcl_68721,130.0797955,-0.861712567,0.219461286,-3.926490099,8.62E-05,0.01748668
Plaur_63645,74.82663612,1.127485975,0.285864683,3.944124758,8.01E-05,0.01748668
Slc34a2_74194,2116.712434,0.642847359,0.163192998,3.939184676,8.18E-05,0.01748668
Zdhhc21_64753,158.4821938,-0.833233236,0.212215001,-3.926363513,8.62E-05,0.01748668
Pik3ca_30701,289.4405087,-0.564061339,0.14380705,-3.922348293,8.77E-05,0.017526747
Pcsk7_57804,149.5902614,0.662658197,0.169366286,3.912574421,9.13E-05,0.017862472
Ufsp2_69257,226.4164142,-0.50674436,0.12962205,-3.909399372,9.25E-05,0.017862472
Vwf_30926,45.6136038,1.199831583,0.3070472,3.907645415,9.32E-05,0.017862472
Nhlrc3_58726,46.25499432,-0.923950828,0.237544865,-3.889584514,0.000100416,0.018579708
Oxnad1_66699,232.2594559,-0.987955572,0.253795809,-3.892718224,9.91E-05,0.018579708
Srrm1_66200,53.5450982,-0.790979987,0.203422808,-3.888354477,0.000100926,0.018579708
B4galt4_78044,75.89467717,-0.80969856,0.209137783,-3.871603445,0.000108122,0.01950359
Ppp4c_63800,1089.956853,0.392712413,0.101470047,3.870229917,0.000108733,0.01950359
Igfbp7_80197,286.9915138,0.899913732,0.233564063,3.852963165,0.000116697,0.020667178
Nde1_77231,89.25986333,1.256076065,0.326268067,3.849828377,0.000118201,0.020671811
Selenot_65863,257.8517036,-1.800706275,0.469388382,-3.836282157,0.000124911,0.021575658
C1galt1_60779,714.7353913,-0.73017032,0.190690108,-3.829093846,0.000128616,0.02170994
Lvrn_57576,48.1907244,-1.636687332,0.428451181,-3.820008916,0.000133447,0.02170994
Matr3_75030,1000.811735,-0.50152387,0.131008486,-3.828178496,0.000129095,0.02170994
Nolc1_29819,369.5772142,0.46572009,0.121906893,3.820293335,0.000133293,0.02170994
Pgm2_30214,96.5816388,-1.138841564,0.297707002,-3.825377152,0.000130572,0.02170994
Hacd3_30807,381.5408505,-0.552286174,0.144761533,-3.815144542,0.000136103,0.021887592
Pomp_80505,650.7570318,0.579911561,0.152269992,3.80844284,0.000139845,0.022233712
Arih1_65488,1347.842505,-0.378669305,0.099986932,-3.787187955,0.000152362,0.02282051
Eif4g2_77423,2555.770397,-0.575070525,0.151727684,-3.790148975,0.000150557,0.02282051
Erbb3_30519,125.2178972,-0.703066098,0.185601478,-3.788041487,0.000151839,0.02282051
Hipk3_59778,1174.355703,-0.625991113,0.16535999,-3.785626213,0.000153322,0.02282051
Lsm14a_67123,738.4783707,-0.514376092,0.135786031,-3.788137024,0.000151781,0.02282051
Uhrf1bp1l_78930,165.9852478,-0.657627696,0.17349442,-3.790483268,0.000150354,0.02282051
Tmod3_74150,404.6991754,0.483052994,0.128460277,3.76032968,0.00016969,0.024990809
Cul1_31957,1420.29259,-0.801326555,0.213346751,-3.755981989,0.000172663,0.02516385
Stx17_70470,60.09211591,-1.056053571,0.281379554,-3.753128314,0.000174641,0.025189772
Smarcc1_29414,461.2105176,-0.511346496,0.136958869,-3.733577104,0.000188779,0.026951144
Pdpk1_64056,593.2845877,-0.41149353,0.110543888,-3.722444862,0.000197303,0.027883498
Nek7_73928,1468.758407,-0.425399134,0.114924215,-3.701562247,0.000214276,0.02968254
Rpn2_78026,1337.876634,-0.410648757,0.110921482,-3.702157153,0.000213774,0.02968254
