gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tmem109_70229,450.1890898,1.06809295,0.128623546,8.304023515,1.01E-16,1.75E-12
Lipo5_56386,22.76466919,19.80128739,2.92871678,6.761079638,1.37E-11,7.92E-08
Ppfibp1_75630,516.6709531,1.358493167,0.200438565,6.777603719,1.22E-11,7.92E-08
Hmox1_31505,40.38639227,2.530478471,0.384328409,6.584156701,4.57E-11,1.98E-07
Gclm_29258,99.07463953,1.089025078,0.186195233,5.848834358,4.95E-09,1.72E-05
Nqo1_29503,316.3608002,1.545309698,0.274411757,5.631353837,1.79E-08,5.17E-05
Ift20_65044,667.5964762,0.975701727,0.177649368,5.492289317,3.97E-08,7.20E-05
St5_69450,575.9845223,-0.624142785,0.112764931,-5.534901503,3.11E-08,7.20E-05
Txnrd1_31483,110.5997567,1.247300267,0.227425476,5.484435123,4.15E-08,7.20E-05
Txnrd1_72590,545.8137631,0.980894889,0.178437616,5.497130663,3.86E-08,7.20E-05
Zranb2_68671,660.3422353,0.9034669,0.165765049,5.450285857,5.03E-08,7.93E-05
Ttc30b_62618,207.1380072,1.493193663,0.278769653,5.356370931,8.49E-08,0.000122808
Atp5k_68198,2991.235171,1.024171358,0.197546861,5.184447648,2.17E-07,0.000289252
Mt2_76492,678.2622241,1.881775333,0.370335744,5.081268458,3.75E-07,0.000464797
Dcp1b_29958,28.56219225,-1.539838412,0.315049999,-4.887600122,1.02E-06,0.001181048
Cntrl_69772,65.04744197,1.134151545,0.237765992,4.770032647,1.84E-06,0.001776694
Fntb_58406,86.91695455,1.053863187,0.220304713,4.783661563,1.72E-06,0.001776694
Nbeal1_63407,1085.613505,-1.036366178,0.217269336,-4.769960633,1.84E-06,0.001776694
Pls3_57065,2246.709331,-0.652157531,0.137650372,-4.73778255,2.16E-06,0.001973738
Pip4k2a_67992,623.9294671,0.87662826,0.185948701,4.714355385,2.42E-06,0.002104217
Edc3_69882,195.1763519,0.624968767,0.136155447,4.590112125,4.43E-06,0.003020021
Lsm14a_67123,738.4783707,-0.626738999,0.13667272,-4.585691998,4.52E-06,0.003020021
Lvrn_57576,48.1907244,-2.031497373,0.443243628,-4.583252286,4.58E-06,0.003020021
Sept2_72375,1050.394666,0.444022647,0.096514594,4.600575211,4.21E-06,0.003020021
Stab1_67351,79.74581469,1.35144054,0.293514947,4.604332947,4.14E-06,0.003020021
Ykt6_29834,684.3094595,0.487550406,0.106502387,4.577835483,4.70E-06,0.003020021
Zfp426_73412,81.7731216,-1.149029908,0.250007229,-4.595986735,4.31E-06,0.003020021
Tbc1d7_65739,34.96069389,2.042552548,0.447145307,4.567983868,4.92E-06,0.003052412
Pcsk7_57804,149.5902614,0.771416896,0.16965074,4.547088293,5.44E-06,0.003255338
Ddrgk1_66329,1394.856256,0.520684561,0.115301631,4.515847323,6.31E-06,0.003648468
Cdon_64083,28.09750573,-1.759165018,0.391005276,-4.499082556,6.82E-06,0.003820971
Heatr1_78361,193.5349093,0.830292,0.185652591,4.472288791,7.74E-06,0.004197268
Crbn_78654,551.9967375,-0.572000146,0.130614668,-4.379294883,1.19E-05,0.005927661
Psip1_30136,269.6067282,-0.778609035,0.177828325,-4.3784309,1.20E-05,0.005927661
Tnfrsf1a_71029,666.6515229,0.627068215,0.142828647,4.390353257,1.13E-05,0.005927661
Rhof_64396,48.04786739,1.266877645,0.29043129,4.362056328,1.29E-05,0.006211794
Cnot6_74982,1282.624957,-0.824744629,0.189578352,-4.350415649,1.36E-05,0.006373861
Pomp_80505,650.7570318,0.663244343,0.152968149,4.335832967,1.45E-05,0.006632238
Ehd2_70002,412.5240199,0.746060732,0.172970976,4.31321339,1.61E-05,0.007160404
Tnfrsf12a_60668,848.2356329,1.058553847,0.246049517,4.302198432,1.69E-05,0.007337759
Trrap_70161,139.2166521,-0.880024189,0.20496683,-4.293495636,1.76E-05,0.007421314
Zmat2_63005,380.70007,0.639351668,0.149072498,4.288863992,1.80E-05,0.007421314
Psmd4_73216,190.1423748,0.739462129,0.173015512,4.273964341,1.92E-05,0.007750776
Cyp1b1_72511,72.85735269,1.508455288,0.353907819,4.262283018,2.02E-05,0.007877549
Nceh1_69154,1413.191344,-0.466533825,0.109509902,-4.260197645,2.04E-05,0.007877549
Cdc42bpg_61133,909.3051246,-0.691960484,0.162829587,-4.249599213,2.14E-05,0.00797195
Nars_30652,1130.642763,0.481656731,0.113389697,4.247799775,2.16E-05,0.00797195
Plscr4_55764,116.0745766,1.220570789,0.288049884,4.23735907,2.26E-05,0.008177724
Hyal2_65098,257.6032409,-0.779107624,0.18509843,-4.209153055,2.56E-05,0.008742862
Rab6a_68205,554.0981967,-0.651886729,0.154892284,-4.208645602,2.57E-05,0.008742862
Slc34a2_74194,2116.712434,0.691277061,0.16421808,4.209506422,2.56E-05,0.008742862
Rmi1_56327,369.0682731,-0.877352885,0.209738351,-4.183082786,2.88E-05,0.009572242
Spred1_58716,1667.894531,0.601893944,0.14405122,4.178332857,2.94E-05,0.009572242
Zfp992_80059,306.0799869,-1.313257338,0.31454325,-4.175124841,2.98E-05,0.009572242
Ggnbp1_79223,14.39733331,1.747883099,0.419200031,4.169568154,3.05E-05,0.009630287
Setdb2_74129,196.0663872,-0.924472383,0.222554407,-4.15391632,3.27E-05,0.01012948
