gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tmem109_70229,450.1890898,1.04422853,0.129268182,8.078001219,6.58E-16,8.99E-12
Cetn3_30290,2634.649084,-0.761691708,0.126359251,-6.02798532,1.66E-09,5.67E-06
Hbs1l_72436,450.8207087,-1.038078289,0.171520408,-6.052214421,1.43E-09,5.67E-06
Nck1_29117,209.7983391,-1.014650266,0.166539801,-6.092539208,1.11E-09,5.67E-06
Grasp_56900,238.9029829,0.911675639,0.165648975,5.503660007,3.72E-08,9.08E-05
Sgsm3_73621,44.93741429,1.285780576,0.234150423,5.491258816,3.99E-08,9.08E-05
Anp32b_67136,1050.824404,-0.652631809,0.121872053,-5.355057136,8.55E-08,0.000166831
B4galt4_78044,75.89467717,-1.097380499,0.208852053,-5.254343837,1.49E-07,0.000218441
F8a_54756,247.3276048,-0.6000013,0.114174323,-5.255133438,1.48E-07,0.000218441
Grrp1_59421,73.77112304,1.520354883,0.290416905,5.23507707,1.65E-07,0.000218441
Meis1_76344,1132.004046,-1.134665388,0.217241096,-5.223069702,1.76E-07,0.000218441
Rpl30_68752,4382.350481,-0.57302973,0.111970321,-5.117693032,3.09E-07,0.000351927
Ptp4a2_62762,1782.62212,-0.845651142,0.167408161,-5.051433188,4.39E-07,0.000460568
Clip1_61747,794.9669647,-0.636993003,0.126938141,-5.018137163,5.22E-07,0.000508855
Samd4_57742,190.4139437,-0.798551074,0.159776802,-4.997916235,5.80E-07,0.000527528
Rb1cc1_65517,288.2092592,-1.228604064,0.246537282,-4.98344127,6.25E-07,0.000533046
Dpp8_61774,779.5909775,-0.556130491,0.112383888,-4.948489507,7.48E-07,0.000600709
Nde1_77231,89.25986333,1.599818952,0.324198554,4.934688727,8.03E-07,0.000608958
Plscr4_55764,116.0745766,1.367680143,0.284889398,4.800740758,1.58E-06,0.001136011
Atp5l_68402,859.1986813,-0.916712378,0.192088072,-4.772354508,1.82E-06,0.001243092
Slc8b1_69603,104.3111458,0.866501215,0.18343697,4.723700011,2.32E-06,0.001482976
Ubxn4_62275,651.4884497,-0.96287113,0.204113011,-4.717343227,2.39E-06,0.001482976
