gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tmem109_70229,450.1890898,0.925520931,0.129159505,7.16572063,7.74E-13,1.08E-08
Bhlhe41_56554,174.3713528,-1.565511026,0.237641091,-6.587711818,4.47E-11,3.12E-07
Ppp2r5c_63803,107.4972069,1.041881936,0.194889829,5.346004676,8.99E-08,0.000314507
Wnk1_72383,2003.343486,-0.896717333,0.166490714,-5.385990071,7.20E-08,0.000314507
Trp53inp2_63824,913.3846296,-0.840853231,0.162623372,-5.170555869,2.33E-07,0.000653096
Foxp1_71179,275.2013318,-0.981058261,0.193541755,-5.068974706,4.00E-07,0.00093265
Crbn_78654,551.9967375,-0.629030917,0.127744458,-4.924134698,8.47E-07,0.0016936
Prpf40a_77619,685.3851756,-0.595545762,0.122208776,-4.873183251,1.10E-06,0.001920514
Zranb2_68671,660.3422353,0.789825825,0.164754249,4.793963302,1.64E-06,0.002541981
Slc34a2_74194,2116.712434,0.777431917,0.16311155,4.766259146,1.88E-06,0.002625801
Cd2bp2_30625,379.4078976,0.6920923,0.147136558,4.703741269,2.55E-06,0.003248925
Csnk1g1_72572,85.39212622,-0.794899985,0.170757644,-4.655135587,3.24E-06,0.00377486
F8a_54756,247.3276048,-0.523217797,0.11432592,-4.576545714,4.73E-06,0.00508752
Ttc30b_62618,207.1380072,1.265424212,0.27785892,4.554196829,5.26E-06,0.00525523
Kat7_57465,548.2305692,-0.531017994,0.117281229,-4.527732173,5.96E-06,0.005560964
Gm21970_74643,1097.477794,-0.437516083,0.09797183,-4.465733486,7.98E-06,0.006358257
Rab6a_68205,554.0981967,-0.681536486,0.152796699,-4.460413677,8.18E-06,0.006358257
Socs5_59616,227.1337236,-0.746812734,0.167416288,-4.460812879,8.16E-06,0.006358257
Ccdc88a_76169,452.9915565,-0.830119702,0.187176367,-4.434960007,9.21E-06,0.006781171
Fbxo18_72416,1186.06316,-0.405979815,0.091951791,-4.415137655,1.01E-05,0.007061659
Rpl30_68752,4382.350481,-0.491936207,0.11176728,-4.401433104,1.08E-05,0.007164606
Ly75_62085,34.87791082,-1.362965732,0.313338646,-4.349816883,1.36E-05,0.008288223
Nck1_29117,209.7983391,-0.725051838,0.16650343,-4.354575982,1.33E-05,0.008288223
Marcks_57558,1080.988391,0.805807288,0.186200348,4.327635774,1.51E-05,0.008727137
Pon2_59282,121.163242,-0.973549355,0.22535221,-4.320123394,1.56E-05,0.008727137
Gpr137b_66538,288.2514478,-0.570705475,0.134050615,-4.257387966,2.07E-05,0.009334671
Itfg1_30888,854.9498192,-0.653170743,0.152570268,-4.2811142,1.86E-05,0.009334671
Pgm2l1_56784,480.8238349,-0.598857188,0.140602575,-4.25921919,2.05E-05,0.009334671
Pgm5_74167,225.7345371,-0.878361954,0.206148266,-4.260826296,2.04E-05,0.009334671
Rabl6_73963,193.9578145,-0.663461946,0.155810155,-4.258143154,2.06E-05,0.009334671
Trap1_64417,544.4091799,-0.64777631,0.151789049,-4.267608978,1.98E-05,0.009334671
Adipor2_77807,338.6253872,-0.595031648,0.140179337,-4.244788578,2.19E-05,0.00956633
Anp32b_67136,1050.824404,-0.511563775,0.121684383,-4.204021608,2.62E-05,0.010497368
Mylip_61949,242.2288365,-0.805728173,0.191963061,-4.197308428,2.70E-05,0.010497368
Pls3_57065,2246.709331,-0.573802942,0.13646586,-4.204736199,2.61E-05,0.010497368
Sdcbp_53811,2493.023149,-0.59247044,0.14105347,-4.200325157,2.67E-05,0.010497368
Chil3_30648,2354.050179,-1.761241354,0.420717194,-4.186283276,2.84E-05,0.010722378
Agap3_63615,637.2650098,0.465765133,0.111882408,4.162988081,3.14E-05,0.011225642
Gm20517_65937,376.2338919,0.404390786,0.097386523,4.152430683,3.29E-05,0.011225642
Grasp_56900,238.9029829,0.689698034,0.166057052,4.153379971,3.28E-05,0.011225642
Scly_69863,64.42720325,0.943628399,0.226335934,4.169149737,3.06E-05,0.011225642
Galnt18_60695,144.8818637,0.794256758,0.192410921,4.127919312,3.66E-05,0.012194173
Chil3_66072,1969.657767,-1.839505688,0.446381389,-4.120928275,3.77E-05,0.01227788
Cop1_73039,1128.361886,-0.450159568,0.109538545,-4.109599668,3.96E-05,0.01260289
