gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Lipo5_56386,22.76466919,18.45433791,2.901531149,6.360206719,2.01E-10,3.16E-06
Egr1_58083,25.34685669,2.2746969,0.401337374,5.667792358,1.45E-08,0.000108717
Fbxo11_72686,2357.937496,-0.690140398,0.123126523,-5.605131891,2.08E-08,0.000108717
Bcam_77557,897.5520126,0.932046506,0.17520975,5.319604106,1.04E-07,0.000407472
Egr1_30209,31.28827367,2.086277033,0.402597379,5.182043252,2.19E-07,0.000447605
Mt2_76492,678.2622241,1.916734318,0.368140913,5.206523506,1.92E-07,0.000447605
Nr4a1_74357,45.3242515,2.190483102,0.423319288,5.174541208,2.28E-07,0.000447605
Tubgcp5_63771,338.250319,-0.723830198,0.138701206,-5.218629452,1.80E-07,0.000447605
Ubtf_69427,2070.460145,-0.715245866,0.13894767,-5.147591649,2.64E-07,0.000459484
Crbn_78654,551.9967375,-0.645199265,0.127573408,-5.057474545,4.25E-07,0.00066586
Csnk1g1_72572,85.39212622,-0.857401225,0.170500267,-5.02873832,4.94E-07,0.000703458
Nek7_73928,1468.758407,-0.574431194,0.115014006,-4.994445573,5.90E-07,0.000770655
Atf3_29935,50.9034191,1.674083818,0.342382772,4.889509499,1.01E-06,0.001088827
Slc4a1ap_67273,499.3794579,-0.614207138,0.126411379,-4.858796294,1.18E-06,0.001088827
Stx11_69405,251.4379315,1.198417278,0.24623001,4.867064251,1.13E-06,0.001088827
Tdrd3_80516,1176.455959,-0.423757384,0.087008202,-4.870315397,1.11E-06,0.001088827
Wwp1_57205,2209.483807,-0.553383503,0.11318383,-4.889245248,1.01E-06,0.001088827
Gm13889_55024,89.96725787,1.810790834,0.375396146,4.823679871,1.41E-06,0.001162553
Hbs1l_72436,450.8207087,-0.824555539,0.170781761,-4.828124105,1.38E-06,0.001162553
Col6a2_29638,244.6151213,1.073650152,0.225793881,4.7550011,1.98E-06,0.001530537
Crybg3_78298,851.4959546,-0.69472211,0.146307842,-4.748358667,2.05E-06,0.001530537
Atg4c_54845,187.5858792,-0.883218872,0.187130145,-4.719810758,2.36E-06,0.001598014
B4galt1_31884,147.5152212,0.876941165,0.185747184,4.721154548,2.35E-06,0.001598014
Rasa1_29997,658.2541888,-0.64724617,0.137346839,-4.712494099,2.45E-06,0.001598014
Fam151b_54548,116.3011687,-0.905207615,0.193227568,-4.684671165,2.80E-06,0.001740735
Fam210a_59633,476.9260232,-0.660178664,0.142204837,-4.642448714,3.44E-06,0.001740735
Kcnj2_59887,193.4714805,0.959804008,0.205874406,4.662085134,3.13E-06,0.001740735
Rhof_64396,48.04786739,1.339531034,0.28704249,4.666664622,3.06E-06,0.001740735
Snx13_32157,1948.48626,-0.603592725,0.129881091,-4.64727173,3.36E-06,0.001740735
Tatdn1_62270,485.2075977,-0.796376207,0.170779293,-4.663189498,3.11E-06,0.001740735
Txnrd1_72590,545.8137631,0.82446836,0.17744526,4.646325074,3.38E-06,0.001740735
Picalm_80276,170.1319923,-1.570924436,0.339475452,-4.627505245,3.70E-06,0.001757736
Syngr2_71544,389.2745868,0.880663986,0.19015669,4.631254302,3.63E-06,0.001757736
Slc25a36_72237,314.4284165,-0.817668345,0.177058682,-4.618064118,3.87E-06,0.001785508
Zfp992_80059,306.0799869,-1.362869415,0.296012097,-4.604100396,4.14E-06,0.001855023
Esm1_60954,276.6753438,1.59260077,0.346432455,4.597146562,4.28E-06,0.001864723
Rptor_71994,550.2737629,-0.575278221,0.125330125,-4.590103323,4.43E-06,0.001876637
Cyr61_57521,704.2663326,0.993263874,0.217127038,4.574574797,4.77E-06,0.00196815
Sdc4_72308,905.7848499,0.62801591,0.137510473,4.567040566,4.95E-06,0.001987892
Ints10_79207,406.3030752,-0.747477116,0.164205673,-4.552078511,5.31E-06,0.002081316
Rfesd_55124,216.4275752,-0.938222448,0.206852963,-4.535697409,5.74E-06,0.002142478
Zfp280b_78252,23.34280673,1.374063051,0.302660828,4.539943477,5.63E-06,0.002142478
Slc25a46_30683,756.972901,-0.501834151,0.111160479,-4.514501527,6.35E-06,0.002313257
Zbtb25_55165,154.7397418,-0.964143314,0.214307071,-4.498887079,6.83E-06,0.002433238
Nbeal1_63407,1085.613505,-0.961369285,0.214576015,-4.480320338,7.45E-06,0.002595835
Epha2_58921,908.8258831,0.695492491,0.155505233,4.472470018,7.73E-06,0.002634469
Arid4b_31769,694.949148,-1.001197869,0.224648979,-4.456721215,8.32E-06,0.002775212
Sorbs1_80288,3667.911591,-0.696522883,0.156557072,-4.449003002,8.63E-06,0.002816889
Nde1_77231,89.25986333,1.439525425,0.325036733,4.42880843,9.48E-06,0.003030811
Ccdc88a_76169,452.9915565,-0.818557474,0.186984457,-4.377676566,1.20E-05,0.00354716
Map4k3_61684,772.5491045,-0.572736765,0.130549558,-4.38712144,1.15E-05,0.00354716
Vps37a_56960,869.4411759,-0.804106244,0.18363605,-4.378803846,1.19E-05,0.00354716
Xiap_78640,704.573445,-0.530977183,0.121140973,-4.383134519,1.17E-05,0.00354716
Arfgef1_57541,1890.167735,-0.611153812,0.139837571,-4.370455014,1.24E-05,0.003598634
Jrkl_55145,338.6627447,-0.66409727,0.152746513,-4.347708204,1.38E-05,0.003920172
Uggt1_66719,1105.168538,-0.579971503,0.133545358,-4.342880287,1.41E-05,0.003935792
Igfbp7_80197,286.9915138,1.007770866,0.233503687,4.315867044,1.59E-05,0.00429596
Midn_73073,588.8372783,0.689149537,0.159603014,4.317898021,1.58E-05,0.00429596
Zfp277_74155,117.6038326,-1.070945632,0.248493167,-4.309758871,1.63E-05,0.004341491
Ccdc141_67923,759.7776541,-0.880286238,0.204625905,-4.301929592,1.69E-05,0.004422845
Actb_69068,3014.502297,0.575876891,0.134783772,4.272598137,1.93E-05,0.004650807
C1galt1_60779,714.7353913,-0.815199156,0.190642576,-4.276060329,1.90E-05,0.004650807
Cspp1_79925,189.1533953,-0.712972942,0.166989325,-4.26957198,1.96E-05,0.004650807
Cul1_31957,1420.29259,-0.912221673,0.213035949,-4.282008175,1.85E-05,0.004650807
Nae1_80066,646.8324653,-0.635519948,0.1485179,-4.279079812,1.88E-05,0.004650807
Tnfrsf12a_60668,848.2356329,1.048267801,0.244979404,4.279003809,1.88E-05,0.004650807
Hyal2_65098,257.6032409,-0.778284338,0.182941487,-4.254280161,2.10E-05,0.004905943
Ddx54_73004,142.2858704,0.820948792,0.193315575,4.246676917,2.17E-05,0.005000712
Gm49336_61134,84.65479332,-0.880443493,0.208198521,-4.228865259,2.35E-05,0.00504269
Kidins220_73861,667.6925764,-0.511753648,0.12089459,-4.233056653,2.31E-05,0.00504269
Ltbp4_64293,226.3114198,1.156345205,0.273403661,4.229443011,2.34E-05,0.00504269
Mast2_66963,479.2381556,-0.850415509,0.201089615,-4.229037428,2.35E-05,0.00504269
Spry2_56791,64.50449386,0.963664452,0.227408853,4.237585479,2.26E-05,0.00504269
Rpl21-ps4_67897,4041.366768,-0.760080779,0.18012938,-4.219638006,2.45E-05,0.005125871
Tnip1_29881,23.63405699,1.592820132,0.377526769,4.219091892,2.45E-05,0.005125871
Cul1_77492,1152.201661,-0.600300146,0.142572389,-4.210493684,2.55E-05,0.005192308
Hbegf_57532,324.0335891,0.90098739,0.2140009,4.210203734,2.55E-05,0.005192308
Zfp748_67960,197.9046896,-0.754519632,0.179334569,-4.207329548,2.58E-05,0.005192308
Slc25a25_80010,119.9661097,0.869639521,0.207269679,4.195690962,2.72E-05,0.005397086
Senp6_74215,310.8959097,-0.970268848,0.231509317,-4.191057457,2.78E-05,0.005439654
Gprc5a_55687,395.9013161,0.829243344,0.198208451,4.18369317,2.87E-05,0.005549619
Zfp654_71240,283.8474312,-0.678422104,0.162280792,-4.180544704,2.91E-05,0.005558403
B4galt4_78044,75.89467717,-0.86690844,0.208145967,-4.16490626,3.11E-05,0.005715591
Ddx52_61913,316.6636324,-0.563587417,0.13532391,-4.164729043,3.12E-05,0.005715591
Mindy1_70212,455.1162486,-0.886955552,0.212924048,-4.165595952,3.11E-05,0.005715591
Zfp60_76673,198.7102188,-0.818147088,0.196512089,-4.163342279,3.14E-05,0.005715591
Slf1_71972,176.1986882,-1.472223153,0.353993786,-4.15889547,3.20E-05,0.005761002
0610010F05Rik_69119,954.6431609,-0.475708665,0.114646772,-4.149341974,3.33E-05,0.005867756
Hgf_60131,112.3154787,0.798353339,0.19298024,4.136969364,3.52E-05,0.005867756
Mcrip1_63863,602.8603019,0.648139266,0.156664565,4.137114648,3.52E-05,0.005867756
Mdm4_53830,1981.116099,-0.674961036,0.162827987,-4.14523969,3.39E-05,0.005867756
Ptgis_61434,120.3937467,0.799233377,0.193162679,4.137617996,3.51E-05,0.005867756
Sar1b_78294,724.2071785,-0.50272777,0.121396171,-4.141216043,3.45E-05,0.005867756
