gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ier2_61621,872.2058108,1.008911608,0.183436309,5.500064927,3.80E-08,0.000428968
Txnrd1_72590,545.8137631,0.889471804,0.177419199,5.013390936,5.35E-07,0.003021301
Nqo1_29503,316.3608002,1.295885681,0.269609136,4.806534746,1.54E-06,0.005783913
Slc25a46_30683,756.972901,-0.52411326,0.111356999,-4.70660367,2.52E-06,0.007114922
Dpp8_61774,779.5909775,-0.521536302,0.112419486,-4.639198423,3.50E-06,0.00723927
Grasp_56900,238.9029829,0.766450723,0.165987056,4.617533094,3.88E-06,0.00723927
Iars2_32098,1117.483267,0.535249294,0.116674466,4.587544418,4.48E-06,0.00723927
Csnk1g1_72572,85.39212622,-0.763789005,0.170580074,-4.477598031,7.55E-06,0.010140538
Ftl1_72676,286.329674,0.716377021,0.160510147,4.463126069,8.08E-06,0.010140538
Kcnj2_59887,193.4714805,0.901452058,0.206261943,4.37042358,1.24E-05,0.01401141
Acad8_75993,84.9389839,0.783676612,0.181674954,4.313619422,1.61E-05,0.014991085
Lrpap1_64418,892.9037901,0.623729384,0.144545221,4.315115913,1.60E-05,0.014991085
Nck1_29117,209.7983391,-0.714881474,0.166335482,-4.297829086,1.72E-05,0.014991085
Zfp106_75666,767.0077088,-0.637438083,0.150703925,-4.229737767,2.34E-05,0.018882556
Ldlr_30685,367.7578814,0.893883343,0.214008686,4.176855436,2.96E-05,0.022264057
Marf1_60424,593.7404474,-0.476867415,0.114821777,-4.153109517,3.28E-05,0.023162079
Gclm_74540,99.11674686,0.81960818,0.198086071,4.137636618,3.51E-05,0.023322566
Ttc30b_62618,207.1380072,1.144278292,0.278468673,4.109181405,3.97E-05,0.024924595
B4galt4_78044,75.89467717,-0.856427475,0.209229323,-4.093247841,4.25E-05,0.025296238
Ppig_79520,79.06444338,-1.096750602,0.270255678,-4.058196338,4.95E-05,0.027938576
Meis1_76344,1132.004046,-0.87275455,0.216828872,-4.025084584,5.70E-05,0.030644416
Eif2s1_79590,457.169676,0.534140039,0.136273585,3.91961538,8.87E-05,0.038542799
Eprs_29794,679.8220551,0.453343982,0.115515451,3.924531128,8.69E-05,0.038542799
Kif1c_57997,93.1038942,-0.826874269,0.210701963,-3.924378573,8.70E-05,0.038542799
Med8_74988,169.9330049,0.711296507,0.181208652,3.925289979,8.66E-05,0.038542799
Rptor_71994,550.2737629,-0.496450123,0.125405165,-3.958769341,7.53E-05,0.038542799
Cmtm6_60535,1735.179061,0.349424138,0.090085817,3.878791908,0.000104977,0.043930723
Kank4_60558,96.01838365,-0.883852278,0.22863735,-3.865738814,0.000110753,0.044692958
Becn1_30105,2076.098854,0.491765638,0.128456409,3.828268617,0.000129048,0.04860373
Crebzf_59865,1213.859044,0.721776409,0.188301645,3.833086048,0.000126546,0.04860373
Puf60_29504,1807.881045,0.348948888,0.091396513,3.817967203,0.000134556,0.049043422
Stat6_69221,362.8903864,0.642436012,0.168898033,3.803691491,0.000142556,0.049375976
Zfp81_81994,116.6565002,-0.907182831,0.238679746,-3.800837095,0.000144208,0.049375976
Bloc1s6_75600,238.5062424,0.460783442,0.122890186,3.749554445,0.000177149,0.050881264
Cdc34_65270,1309.076514,0.485435953,0.130519783,3.719251908,0.000199814,0.050881264
Dennd5a_61918,347.0385889,-0.526562891,0.139597878,-3.771997807,0.000161946,0.050881264
